モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26n-pose,3,"{94: [264, 0, 0, 0, 0], 95: [2, 0, 0, 0, 0], 96: [1, 0, 0, 0, 0]}","{94: [1.0, 0.0, 0.0, 0.0, 0.0], 95: [1.0, 0.0, 0.0, 0.0, 0.0], 96: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26n-pose,3,"{98: [0, 648, 0, 0, 12], 99: [0, 1, 0, 0, 0], 101: [0, 3, 0, 0, 0]}","{98: [0.0, 0.982, 0.0, 0.0, 0.018], 99: [0.0, 1.0, 0.0, 0.0, 0.0], 101: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26n-pose,4,"{103: [0, 795, 0, 0, 2], 106: [0, 5, 0, 0, 0], 108: [0, 1, 0, 0, 0], 109: [0, 2, 0, 0, 0]}","{103: [0.0, 0.997, 0.0, 0.0, 0.003], 106: [0.0, 1.0, 0.0, 0.0, 0.0], 108: [0.0, 1.0, 0.0, 0.0, 0.0], 109: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26n-pose,2,"{115: [60, 580, 10, 9, 14], 121: [0, 22, 0, 0, 0]}","{115: [0.089, 0.862, 0.015, 0.013, 0.021], 121: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26n-pose,2,"{125: [0, 754, 0, 0, 24], 127: [0, 4, 0, 0, 0]}","{125: [0.0, 0.969, 0.0, 0.0, 0.031], 127: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26n-pose,1,"{132: [0, 277, 0, 0, 4]}","{132: [0.0, 0.986, 0.0, 0.0, 0.014]}",data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26n-pose,5,"{146: [0, 672, 0, 0, 15], 148: [0, 2, 0, 0, 0], 149: [0, 4, 0, 0, 0], 151: [0, 6, 0, 0, 0], 154: [0, 1, 0, 0, 0]}","{146: [0.0, 0.978, 0.0, 0.0, 0.022], 148: [0.0, 1.0, 0.0, 0.0, 0.0], 149: [0.0, 1.0, 0.0, 0.0, 0.0], 151: [0.0, 1.0, 0.0, 0.0, 0.0], 154: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26n-pose,5,"{155: [0, 536, 0, 0, 17], 158: [0, 1, 0, 0, 3], 159: [0, 0, 0, 0, 1], 165: [0, 0, 0, 0, 1], 170: [0, 0, 0, 0, 1]}","{155: [0.0, 0.969, 0.0, 0.0, 0.031], 158: [0.0, 0.25, 0.0, 0.0, 0.75], 159: [0.0, 0.0, 0.0, 0.0, 1.0], 165: [0.0, 0.0, 0.0, 0.0, 1.0], 170: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26n-pose,5,"{171: [0, 541, 0, 0, 6], 172: [0, 3, 0, 0, 0], 173: [0, 2, 0, 0, 0], 175: [0, 1, 0, 0, 0], 181: [0, 0, 0, 0, 1]}","{171: [0.0, 0.989, 0.0, 0.0, 0.011], 172: [0.0, 1.0, 0.0, 0.0, 0.0], 173: [0.0, 1.0, 0.0, 0.0, 0.0], 175: [0.0, 1.0, 0.0, 0.0, 0.0], 181: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26n-pose,5,"{192: [0, 830, 0, 0, 6], 194: [0, 4, 0, 0, 0], 195: [0, 5, 0, 0, 0], 196: [0, 1, 0, 0, 0], 197: [0, 13, 0, 0, 0]}","{192: [0.0, 0.993, 0.0, 0.0, 0.007], 194: [0.0, 1.0, 0.0, 0.0, 0.0], 195: [0.0, 1.0, 0.0, 0.0, 0.0], 196: [0.0, 1.0, 0.0, 0.0, 0.0], 197: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
