モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26x-pose,1,"{213: [367, 168, 2, 13, 0]}","{213: [0.667, 0.305, 0.004, 0.024, 0.0]}",data_yolo/移動/車載2/距離10m/奥/確認横断/resize.mov
yolo26x-pose,1,"{218: [362, 149, 4, 36, 0]}","{218: [0.657, 0.27, 0.007, 0.065, 0.0]}",data_yolo/移動/車載2/距離10m/奥/不確認横断/resize.mov
yolo26x-pose,2,"{223: [630, 0, 0, 0, 0], 224: [1, 0, 0, 0, 0]}","{223: [1.0, 0.0, 0.0, 0.0, 0.0], 224: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/停止素通り/resize.mov
yolo26x-pose,1,"{226: [216, 94, 0, 6, 0]}","{226: [0.684, 0.297, 0.0, 0.019, 0.0]}",data_yolo/移動/車載2/距離10m/奥/走行横断/resize.mov

yolo26x-pose,1,"{227: [0, 150, 0, 0, 0]}","{227: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/1回目/resize.mov
yolo26x-pose,1,"{227: [0, 246, 0, 0, 0]}","{227: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/3回目/resize.mov
yolo26x-pose,1,"{227: [0, 240, 0, 0, 0]}","{227: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/2回目/resize.mov
yolo26x-pose,1,"{228: [0, 0, 0, 162, 0]}","{228: [0.0, 0.0, 0.0, 1.0, 0.0]}",data_yolo/停止/路側/距離5m/Right/1回目/resize.mov
yolo26x-pose,1,"{228: [108, 0, 0, 73, 0]}","{228: [0.597, 0.0, 0.0, 0.403, 0.0]}",data_yolo/停止/路側/距離5m/Right/3回目/resize.mov
yolo26x-pose,1,"{228: [51, 0, 0, 127, 0]}","{228: [0.287, 0.0, 0.0, 0.713, 0.0]}",data_yolo/停止/路側/距離5m/Right/2回目/resize.mov
