モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26s-pose,3,"{138: [29, 719, 11, 2, 9], 139: [0, 1, 0, 0, 0], 140: [0, 1, 0, 0, 0]}","{138: [0.038, 0.934, 0.014, 0.003, 0.012], 139: [0.0, 1.0, 0.0, 0.0, 0.0], 140: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/素通り/resize.mov
yolo26s-pose,1,"{143: [44, 477, 9, 55, 8]}","{143: [0.074, 0.804, 0.015, 0.093, 0.013]}",data_yolo/移動/車載2/距離10m/手前/確認横断/resize.mov
yolo26s-pose,2,"{146: [71, 405, 0, 83, 0], 151: [0, 2, 0, 0, 0]}","{146: [0.127, 0.725, 0.0, 0.148, 0.0], 151: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/不確認横断/resize.mov
yolo26s-pose,3,"{153: [0, 720, 12, 0, 7], 157: [0, 1, 0, 0, 0], 158: [67, 0, 0, 0, 0]}","{153: [0.0, 0.974, 0.016, 0.0, 0.009], 157: [0.0, 1.0, 0.0, 0.0, 0.0], 158: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/停止素通り/resize.mov
yolo26s-pose,2,"{159: [0, 186, 5, 52, 1], 160: [0, 2, 0, 0, 0]}","{159: [0.0, 0.762, 0.02, 0.213, 0.004], 160: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/走行横断/resize.mov
yolo26s-pose,1,"{162: [639, 0, 0, 0, 0]}","{162: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/素通り/resize.mov
yolo26s-pose,1,"{168: [388, 131, 0, 29, 0]}","{168: [0.708, 0.239, 0.0, 0.053, 0.0]}",data_yolo/移動/車載2/距離10m/奥/確認横断/resize.mov
yolo26s-pose,3,"{173: [405, 104, 0, 68, 0], 174: [120, 0, 0, 0, 0], 178: [20, 0, 0, 1, 0]}","{173: [0.702, 0.18, 0.0, 0.118, 0.0], 174: [1.0, 0.0, 0.0, 0.0, 0.0], 178: [0.952, 0.0, 0.0, 0.048, 0.0]}",data_yolo/移動/車載2/距離10m/奥/不確認横断/resize.mov
yolo26s-pose,1,"{179: [658, 0, 0, 0, 0]}","{179: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/停止素通り/resize.mov
yolo26s-pose,1,"{183: [227, 81, 0, 9, 0]}","{183: [0.716, 0.256, 0.0, 0.028, 0.0]}",data_yolo/移動/車載2/距離10m/奥/走行横断/resize.mov

yolo26s-pose,1,"{186: [0, 150, 0, 0, 0]}","{186: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/1回目/resize.mov
yolo26s-pose,1,"{186: [0, 246, 0, 0, 0]}","{186: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/3回目/resize.mov
yolo26s-pose,1,"{186: [0, 240, 0, 0, 0]}","{186: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/2回目/resize.mov
yolo26s-pose,3,"{187: [0, 0, 0, 10, 0], 188: [0, 0, 0, 41, 0], 191: [0, 0, 0, 87, 0]}","{187: [0.0, 0.0, 0.0, 1.0, 0.0], 188: [0.0, 0.0, 0.0, 1.0, 0.0], 191: [0.0, 0.0, 0.0, 1.0, 0.0]}",data_yolo/停止/路側/距離5m/Right/1回目/resize.mov
yolo26s-pose,1,"{191: [0, 0, 0, 96, 0]}","{191: [0.0, 0.0, 0.0, 1.0, 0.0]}",data_yolo/停止/路側/距離5m/Right/3回目/resize.mov
yolo26s-pose,2,"{191: [27, 0, 0, 43, 0], 192: [0, 0, 0, 81, 0]}","{191: [0.386, 0.0, 0.0, 0.614, 0.0], 192: [0.0, 0.0, 0.0, 1.0, 0.0]}",data_yolo/停止/路側/距離5m/Right/2回目/resize.mov
yolo26s-pose,2,"{193: [0, 0, 81, 0, 0], 198: [0, 0, 6, 0, 0]}","{193: [0.0, 0.0, 1.0, 0.0, 0.0], 198: [0.0, 0.0, 1.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Left/1回目/resize.mov
yolo26s-pose,4,"{199: [0, 94, 105, 0, 0], 203: [0, 1, 0, 0, 0], 204: [0, 3, 0, 0, 0], 205: [0, 5, 0, 0, 0]}","{199: [0.0, 0.472, 0.528, 0.0, 0.0], 203: [0.0, 1.0, 0.0, 0.0, 0.0], 204: [0.0, 1.0, 0.0, 0.0, 0.0], 205: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Left/3回目/resize.mov
yolo26s-pose,1,"{199: [0, 155, 42, 0, 0]}","{199: [0.0, 0.787, 0.213, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Left/2回目/resize.mov
yolo26s-pose,1,"{199: [117, 23, 0, 90, 0]}","{199: [0.509, 0.1, 0.0, 0.391, 0.0]}",data_yolo/停止/路側/距離5m/RightandCheck/1回目/resize.mov
yolo26s-pose,1,"{199: [112, 0, 0, 142, 0]}","{199: [0.441, 0.0, 0.0, 0.559, 0.0]}",data_yolo/停止/路側/距離5m/RightandCheck/3回目/resize.mov
yolo26s-pose,1,"{199: [98, 14, 0, 117, 0]}","{199: [0.428, 0.061, 0.0, 0.511, 0.0]}",data_yolo/停止/路側/距離5m/RightandCheck/2回目/resize.mov
yolo26s-pose,1,"{199: [145, 0, 0, 0, 0]}","{199: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Front/1回目/resize.mov
yolo26s-pose,1,"{199: [199, 0, 0, 0, 0]}","{199: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Front/3回目/resize.mov
yolo26s-pose,1,"{199: [222, 0, 0, 0, 0]}","{199: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Front/2回目/resize.mov
yolo26s-pose,1,"{213: [0, 166, 0, 0, 0]}","{213: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Behind/1回目/resize.mov
